var1,var2,spearman
dollar_top3_avg_12m,dollar_avg_12m,1
dollar_top6_avg_12m,dollar_avg_12m,1
products_top3_avg_12m,products_avg_12m,1
products_top6_avg_12m,products_avg_12m,1
dollar_top6_avg_12m,dollar_top3_avg_12m,1
products_top6_avg_12m,products_top3_avg_12m,1
products_avg12_top3_ratio,dollar_avg12_top3_ratio,1
products_avg12_top6_ratio,dollar_avg12_top6_ratio,1
products_top3_avg_12m,products_std_12m,0.9995
products_std_12m,products_avg_12m,0.9994
products_top6_avg_12m,products_std_12m,0.9994
dollar_top1_12m,dollar_std_12m,0.9992
products_avg12_top1_ratio,months_with_purchase_12m,0.9989
products_spring_avg_12m,dollar_spring_avg_12m,0.9981
products_winter_avg_12m,dollar_winter_avg_12m,0.9979
dollar_top3_avg_12m,dollar_std_12m,0.9977
dollar_std_12m,dollar_avg_12m,0.9976
dollar_top6_avg_12m,dollar_std_12m,0.9976
products_autumn_avg_12m,dollar_autumn_avg_12m,0.9973
dollar_avg12_top6_ratio,dollar_avg12_top3_ratio,0.9956
products_avg12_top6_ratio,dollar_avg12_top3_ratio,0.9956
products_avg12_top3_ratio,dollar_avg12_top6_ratio,0.9956
products_avg12_top6_ratio,products_avg12_top3_ratio,0.9956
dollar_top3_avg_12m,dollar_top1_12m,0.9947
dollar_top1_12m,dollar_avg_12m,0.9946
dollar_top6_avg_12m,dollar_top1_12m,0.9946
products_summer_avg_12m,dollar_summer_avg_12m,0.9938
products_avg12_top1_ratio,products_avg_12m,0.9893
products_avg12_top1_ratio,products_top6_avg_12m,0.9893
products_avg12_top1_ratio,products_top3_avg_12m,0.9892
months_with_purchase_12m,products_avg_12m,0.9882
months_with_purchase_12m,products_top6_avg_12m,0.9882
months_with_purchase_12m,products_top3_avg_12m,0.9881
products_top1_12m,products_std_12m,0.9865
products_avg12_top1_ratio,products_std_12m,0.9847
months_with_purchase_12m,products_std_12m,0.9837
products_top3_avg_12m,products_top1_12m,0.9828
products_top1_12m,products_avg_12m,0.9826
products_top6_avg_12m,products_top1_12m,0.9826
dollar_avg12_top1_ratio,months_with_purchase_12m,0.9795
products_avg12_top1_ratio,dollar_avg12_top1_ratio,0.9788
dollar_avg12_top6_ratio,products_top1_12m,0.977
products_avg12_top6_ratio,products_top1_12m,0.977
dollar_avg12_top3_ratio,months_with_purchase_12m,0.9761
products_avg12_top3_ratio,months_with_purchase_12m,0.9761
dollar_avg12_top3_ratio,products_top1_12m,0.9758
products_avg12_top3_ratio,products_top1_12m,0.9758
products_avg12_top1_ratio,dollar_avg12_top3_ratio,0.975
products_avg12_top3_ratio,products_avg12_top1_ratio,0.975
dollar_avg12_top6_ratio,months_with_purchase_12m,0.9718
products_avg12_top6_ratio,months_with_purchase_12m,0.9718
products_avg12_top1_ratio,dollar_avg12_top6_ratio,0.9709
products_avg12_top6_ratio,products_avg12_top1_ratio,0.9709
dollar_avg12_top1_ratio,products_avg_12m,0.9682
dollar_avg12_top1_ratio,products_top6_avg_12m,0.9682
dollar_avg12_top1_ratio,products_top3_avg_12m,0.9681
dollar_avg12_top3_ratio,products_avg_12m,0.9679
products_avg12_top3_ratio,products_avg_12m,0.9679
dollar_avg12_top3_ratio,products_top6_avg_12m,0.9679
products_avg12_top3_ratio,products_top6_avg_12m,0.9679
dollar_avg12_top3_ratio,products_top3_avg_12m,0.9675
products_avg12_top3_ratio,products_top3_avg_12m,0.9675
dollar_avg12_top3_ratio,products_std_12m,0.9666
products_avg12_top3_ratio,products_std_12m,0.9666
products_avg_12m,dollar_avg_12m,0.9655
products_top3_avg_12m,dollar_avg_12m,0.9655
products_top6_avg_12m,dollar_avg_12m,0.9655
dollar_top3_avg_12m,products_avg_12m,0.9655
dollar_top6_avg_12m,products_avg_12m,0.9655
