base,variable,n,n_na,pct_na
V_raw_train,response_id,539,0,0
V_raw_train,raza_negra_afroamericana,539,0,0
V_raw_train,raza_blanca_caucasica,539,0,0
V_raw_train,raza_asiatica,539,0,0
V_raw_train,raza_otra,539,0,0
V_raw_train,raza_indigena_americana_nativa_alaska,539,0,0
V_raw_train,raza_nativa_hawaiana_pacifico,539,0,0
V_raw_train,cambio_perdida_empleo,539,0,0
V_raw_train,cambio_mudanza,539,0,0
V_raw_train,cambio_divorcio,539,0,0
V_raw_train,cambio_tuvo_hijo,539,0,0
V_raw_train,cambio_embarazo,539,0,0
V_raw_train,grupo_edad_25 - 34 años,539,0,0
V_raw_train,grupo_edad_35 - 44 años,539,0,0
V_raw_train,grupo_edad_45 - 54 años,539,0,0
V_raw_train,grupo_edad_55 - 64 años,539,0,0
V_raw_train,grupo_edad_65 años o más,539,0,0
V_raw_train,"rango_ingresos_$50,000 - $74,999",539,0,0
V_raw_train,"rango_ingresos_$75,000 - $99,999",539,0,0
V_raw_train,"rango_ingresos_$100,000 - $149,999",539,0,0
V_raw_train,"rango_ingresos_$150,000 o más",539,0,0
V_raw_train,"rango_ingresos_Menos de $25,000",539,0,0
V_raw_train,rango_ingresos_Prefiero no decir,539,0,0
V_raw_train,personas_comparten_cuenta_2,539,0,0
V_raw_train,personas_comparten_cuenta_3,539,0,0
V_raw_train,personas_comparten_cuenta_4+,539,0,0
V_raw_train,n_states,539,0,0
V_raw_test,response_id,135,0,0
V_raw_test,raza_negra_afroamericana,135,0,0
V_raw_test,raza_blanca_caucasica,135,0,0
V_raw_test,raza_asiatica,135,0,0
V_raw_test,raza_otra,135,0,0
V_raw_test,raza_indigena_americana_nativa_alaska,135,0,0
V_raw_test,raza_nativa_hawaiana_pacifico,135,0,0
V_raw_test,cambio_perdida_empleo,135,0,0
V_raw_test,cambio_mudanza,135,0,0
V_raw_test,cambio_divorcio,135,0,0
V_raw_test,cambio_tuvo_hijo,135,0,0
V_raw_test,cambio_embarazo,135,0,0
V_raw_test,grupo_edad_25 - 34 años,135,0,0
