variable,n,n_na,pct_na
frecuencia_compra_amazon,674,0,0
grupo_edad,674,0,0
origen_hispano,674,0,0
nivel_educativo,674,0,0
rango_ingresos,674,0,0
genero,674,0,0
orientacion_sexual,674,0,0
consumo_cigarrillos,674,0,0
consumo_marihuana,674,0,0
consumo_alcohol,674,0,0
diabetes_hogar,674,0,0
silla_ruedas_hogar,674,0,0
personas_comparten_cuenta,674,0,0
tamano_hogar,674,0,0
recency_days_2018_Adidas,674,0,0
frequency_2018_Adidas,674,0,0
monetary_2018_Adidas,674,0,0
n_states,674,0,0
top_state,674,0,0
raza_negra_afroamericana,674,0,0
raza_blanca_caucasica,674,0,0
raza_asiatica,674,0,0
raza_otra,674,0,0
raza_indigena_americana_nativa_alaska,674,0,0
raza_nativa_hawaiana_pacifico,674,0,0
cambio_perdida_empleo,674,430,63.8
cambio_mudanza,674,430,63.8
cambio_divorcio,674,430,63.8
cambio_tuvo_hijo,674,430,63.8
cambio_embarazo,674,430,63.8
