variable,n,q3,iqr,cap_tukey_k3,n_sobre_cap,pct_sobre_cap
Y_amount (amount_2023_Adidas) - TRAIN,539,10.9,10.9,43.6,78,14.47
W_raw: recency_days_2018_Adidas - TRAIN,539,787,640.5,2708.5,0,0
W_raw: frequency_2018_Adidas - TRAIN,539,2.5,1.5,7,17,3.15
W_raw: monetary_2018_Adidas - TRAIN,539,97.795,72.845,316.33,16,2.97
W_raw: dollar_avg_12m - TRAIN,539,2.6845833333333333,2.6845833333333333,10.738333333333333,17,3.15
W_raw: products_avg_12m - TRAIN,539,0.08333333333333333,0.08333333333333333,0.3333333333333333,12,2.23
W_raw: dollar_std_12m - TRAIN,539,8.716545689090374,8.716545689090374,34.866182756361496,13,2.41
W_raw: products_std_12m - TRAIN,539,0.28867513459481287,0.28867513459481287,1.1547005383792515,4,0.74
W_raw: dollar_top1_12m - TRAIN,539,29.985,29.985,119.94,12,2.23
W_raw: dollar_top3_avg_12m - TRAIN,539,10.738333333333333,10.738333333333333,42.95333333333333,17,3.15
W_raw: dollar_top6_avg_12m - TRAIN,539,5.369166666666667,5.369166666666667,21.476666666666667,17,3.15
W_raw: products_top1_12m - TRAIN,539,1,1,4,2,0.37
W_raw: products_top3_avg_12m - TRAIN,539,0.3333333333333333,0.3333333333333333,1.3333333333333333,10,1.86
W_raw: products_top6_avg_12m - TRAIN,539,0.16666666666666666,0.16666666666666666,0.6666666666666666,12,2.23
W_raw: dollar_spring_avg_12m - TRAIN,539,0,0,0,63,11.69
W_raw: dollar_summer_avg_12m - TRAIN,539,0,0,0,97,18
W_raw: dollar_autumn_avg_12m - TRAIN,539,0,0,0,75,13.91
W_raw: dollar_winter_avg_12m - TRAIN,539,0,0,0,59,10.95
W_raw: products_spring_avg_12m - TRAIN,539,0,0,0,63,11.69
W_raw: products_summer_avg_12m - TRAIN,539,0,0,0,97,18
W_raw: products_autumn_avg_12m - TRAIN,539,0,0,0,75,13.91
W_raw: products_winter_avg_12m - TRAIN,539,0,0,0,59,10.95
W_raw: months_with_purchase_12m - TRAIN,539,1,1,4,1,0.19
W_raw: dollar_avg12_top1_ratio - TRAIN,539,0.08333333333333333,0.08333333333333333,0.3333333333333333,0,0
W_raw: dollar_avg12_top3_ratio - TRAIN,539,0.25,0.25,1,0,0
W_raw: dollar_avg12_top6_ratio - TRAIN,539,0.5,0.5,2,0,0
W_raw: products_avg12_top1_ratio - TRAIN,539,0.08333333333333333,0.08333333333333333,0.3333333333333333,1,0.19
W_raw: products_avg12_top3_ratio - TRAIN,539,0.25,0.25,1,0,0
W_raw: products_avg12_top6_ratio - TRAIN,539,0.5,0.5,2,0,0
V_raw: n_states - TRAIN,539,3,2,9,5,0.93
