variable,VIF
dollar_avg_12m,Inf
products_avg_12m,Inf
dollar_top6_avg_12m,Inf
products_top6_avg_12m,Inf
dollar_spring_avg_12m,Inf
dollar_summer_avg_12m,Inf
dollar_autumn_avg_12m,Inf
dollar_winter_avg_12m,Inf
products_spring_avg_12m,Inf
products_summer_avg_12m,Inf
products_autumn_avg_12m,Inf
products_winter_avg_12m,Inf
dollar_avg12_top6_ratio,Inf
products_avg12_top6_ratio,Inf
dollar_avg12_top3_ratio,34962.116
products_std_12m,7427.517
products_avg12_top3_ratio,7248.843
dollar_std_12m,4821.688
dollar_top3_avg_12m,4770.771
products_top1_12m,3261.233
dollar_top1_12m,2935.308
products_top3_avg_12m,2925.06
products_avg12_top1_ratio,1027.611
months_with_purchase_12m,708.222
dollar_avg12_top1_ratio,279.614
frequency_2018_Adidas,5.973
monetary_2018_Adidas,4.418
recency_days_2018_Adidas,2.986
