base,variable,n,media,mediana,sd,min,max
V_raw_train,raza_negra_afroamericana,539,0.082,0,0.274,0,1
V_raw_train,raza_blanca_caucasica,539,0.811,1,0.392,0,1
V_raw_train,raza_asiatica,539,0.115,0,0.319,0,1
V_raw_train,raza_otra,539,0.033,0,0.18,0,1
V_raw_train,raza_indigena_americana_nativa_alaska,539,0.019,0,0.135,0,1
V_raw_train,raza_nativa_hawaiana_pacifico,539,0.004,0,0.061,0,1
V_raw_train,cambio_perdida_empleo,539,0.104,0,0.305,0,1
V_raw_train,cambio_mudanza,539,0.239,0,0.427,0,1
V_raw_train,cambio_divorcio,539,0.02,0,0.142,0,1
V_raw_train,cambio_tuvo_hijo,539,0.045,0,0.206,0,1
V_raw_train,cambio_embarazo,539,0.045,0,0.206,0,1
V_raw_train,grupo_edad_25 - 34 años,539,0.393,0,0.489,0,1
V_raw_train,grupo_edad_35 - 44 años,539,0.293,0,0.456,0,1
V_raw_train,grupo_edad_45 - 54 años,539,0.145,0,0.352,0,1
V_raw_train,grupo_edad_55 - 64 años,539,0.045,0,0.206,0,1
V_raw_train,grupo_edad_65 años o más,539,0.015,0,0.121,0,1
V_raw_train,"rango_ingresos_$50,000 - $74,999",539,0.215,0,0.411,0,1
V_raw_train,"rango_ingresos_$75,000 - $99,999",539,0.176,0,0.381,0,1
V_raw_train,"rango_ingresos_$100,000 - $149,999",539,0.23,0,0.421,0,1
V_raw_train,"rango_ingresos_$150,000 o más",539,0.132,0,0.339,0,1
V_raw_train,"rango_ingresos_Menos de $25,000",539,0.071,0,0.256,0,1
V_raw_train,rango_ingresos_Prefiero no decir,539,0.004,0,0.061,0,1
V_raw_train,personas_comparten_cuenta_2,539,0.304,0,0.461,0,1
V_raw_train,personas_comparten_cuenta_3,539,0.08,0,0.271,0,1
V_raw_train,personas_comparten_cuenta_4+,539,0.054,0,0.226,0,1
V_raw_train,n_states,539,2.315,2,2.048,0,27
V_raw_test,raza_negra_afroamericana,135,0.096,0,0.296,0,1
V_raw_test,raza_blanca_caucasica,135,0.844,1,0.364,0,1
V_raw_test,raza_asiatica,135,0.074,0,0.263,0,1
V_raw_test,raza_otra,135,0.022,0,0.148,0,1
V_raw_test,raza_indigena_americana_nativa_alaska,135,0.044,0,0.207,0,1
V_raw_test,raza_nativa_hawaiana_pacifico,135,0,0,0,0,0
V_raw_test,cambio_perdida_empleo,135,0.119,0,0.324,0,1
V_raw_test,cambio_mudanza,135,0.244,0,0.431,0,1
V_raw_test,cambio_divorcio,135,0.007,0,0.086,0,1
V_raw_test,cambio_tuvo_hijo,135,0.037,0,0.19,0,1
V_raw_test,cambio_embarazo,135,0.015,0,0.121,0,1
V_raw_test,grupo_edad_25 - 34 años,135,0.363,0,0.483,0,1
V_raw_test,grupo_edad_35 - 44 años,135,0.252,0,0.436,0,1
V_raw_test,grupo_edad_45 - 54 años,135,0.2,0,0.401,0,1
V_raw_test,grupo_edad_55 - 64 años,135,0.059,0,0.237,0,1
V_raw_test,grupo_edad_65 años o más,135,0,0,0,0,0
V_raw_test,"rango_ingresos_$50,000 - $74,999",135,0.096,0,0.296,0,1
V_raw_test,"rango_ingresos_$75,000 - $99,999",135,0.163,0,0.371,0,1
V_raw_test,"rango_ingresos_$100,000 - $149,999",135,0.281,0,0.451,0,1
V_raw_test,"rango_ingresos_$150,000 o más",135,0.17,0,0.377,0,1
V_raw_test,"rango_ingresos_Menos de $25,000",135,0.119,0,0.324,0,1
V_raw_test,rango_ingresos_Prefiero no decir,135,0.022,0,0.148,0,1
V_raw_test,personas_comparten_cuenta_2,135,0.296,0,0.458,0,1
V_raw_test,personas_comparten_cuenta_3,135,0.096,0,0.296,0,1
V_raw_test,personas_comparten_cuenta_4+,135,0.067,0,0.25,0,1
V_raw_test,n_states,135,2.615,2,3.601,0,38
W_raw_train,recency_days_2018_Adidas,539,508.237,436,394.495,0,1397
W_raw_train,frequency_2018_Adidas,539,2.137,1,2.169,1,23
W_raw_train,monetary_2018_Adidas,539,77.785,49.99,85.719,7,714.95
W_raw_train,dollar_avg_12m,539,2.045,0,3.494,0,26.383
W_raw_train,products_avg_12m,539,0.059,0,0.098,0,1.083
W_raw_train,dollar_std_12m,539,6.105,0,9.637,0,68.48
W_raw_train,products_std_12m,539,0.169,0,0.232,0,1.676
W_raw_train,dollar_top1_12m,539,20.421,0,32.294,0,237.22
W_raw_train,dollar_top3_avg_12m,539,8.07,0,13.575,0,105.533
W_raw_train,dollar_top6_avg_12m,539,4.09,0,6.989,0,52.767
W_raw_train,products_top1_12m,539,0.547,0,0.729,0,5
W_raw_train,products_top3_avg_12m,539,0.23,0,0.368,0,3.667
W_raw_train,products_top6_avg_12m,539,0.118,0,0.196,0,2.167
W_raw_train,dollar_spring_avg_12m,539,1.646,0,5.66,0,45.813
W_raw_train,dollar_summer_avg_12m,539,2.572,0,7.075,0,59.403
W_raw_train,dollar_autumn_avg_12m,539,2.409,0,8.228,0,79.073
W_raw_train,dollar_winter_avg_12m,539,1.554,0,5.305,0,40.833
W_raw_train,products_spring_avg_12m,539,0.053,0,0.184,0,2.667
W_raw_train,products_summer_avg_12m,539,0.072,0,0.169,0,1
W_raw_train,products_autumn_avg_12m,539,0.067,0,0.2,0,1.667
W_raw_train,products_winter_avg_12m,539,0.044,0,0.136,0,1
W_raw_train,months_with_purchase_12m,539,0.579,0,0.785,0,5
W_raw_train,dollar_avg12_top1_ratio,539,0.044,0,0.054,0,0.286
W_raw_train,dollar_avg12_top3_ratio,539,0.113,0,0.125,0,0.354
W_raw_train,dollar_avg12_top6_ratio,539,0.224,0,0.249,0,0.5
W_raw_train,products_avg12_top1_ratio,539,0.047,0,0.061,0,0.417
W_raw_train,products_avg12_top3_ratio,539,0.113,0,0.126,0,0.417
W_raw_train,products_avg12_top6_ratio,539,0.224,0,0.249,0,0.5
W_raw_test,recency_days_2018_Adidas,135,506.8,481,359.555,2,1390
W_raw_test,frequency_2018_Adidas,135,1.911,1,1.704,1,12
W_raw_test,monetary_2018_Adidas,135,69.857,52.35,60.756,9.99,328.47
W_raw_test,dollar_avg_12m,135,1.922,0,3.199,0,15.703
