variable,tipo,n_valores_unicos,valores_unicos
q_prolific_mturk,character,2,No | Yes
q_demos_age,character,6,18 - 24 years | 25 - 34 years | 35 - 44 years | 45 - 54 years | 55 - 64 years | 65 and older
q_demos_hispanic,character,2,No | Yes
q_demos_race,character,26,"American Indian/Native American or Alaska Native | American Indian/Native American or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Other | Asian | Asian,Native Hawaiian or Other Pacific Islander | Asian,Other | Black or African American | Black or African American,American Indian/Native American or Alaska Native | Black or African American,American Indian/Native American or Alaska Native,Asian | Black or African American,Asian | Black or African American,Other | Native Hawaiian or Other Pacific Islander | Other | White or Caucasian | White or Caucasian,American Indian/Native American or Alaska Native | White or Caucasian,American Indian/Native American or Alaska Native,Asian | White or Caucasian,American Indian/Native American or Alaska Native,Other | White or Caucasian,Asian | White or Caucasian,Asian,Native Hawaiian or Other Pacific Islander | White or Caucasian,Black or African American | White or Caucasian,Black or African American,American Indian/Native American or Alaska Native | White or Caucasian,Black or African American,Asian | White or Caucasian,Black or African American,Asian,Native Hawaiian or Other Pacific Islander | White or Caucasian,Black or African American,Asian,Other | White or Caucasian,Black or African American,Other | White or Caucasian,Native Hawaiian or Other Pacific Islander | White or Caucasian,Other"
q_demos_education,character,5,"Bachelor's degree | Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc) | High school diploma or GED | Prefer not to say | Some high school or less"
q_demos_gender,character,4,Female | Male | Other | Prefer not to say
q_sexual_orientation,character,3,heterosexual (straight) | LGBTQ+ | prefer not to say
q_demos_state,character,52,Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | I did not reside in the United States | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming
q_amazon_use_howmany,character,4,1 (just me!) | 2 | 3 | 4+
q_amazon_use_hh_size,character,4,1 (just me!) | 2 | 3 | 4+
q_amazon_use_how_oft,character,3,5 - 10 times per month | Less than 5 times per month | More than 10 times per month
q_substance_use_1,character,4,I stopped in the recent past | No | Prefer not to say | Yes
q_substance_use_2,character,4,I stopped in the recent past | No | Prefer not to say | Yes
q_substance_use_3,character,4,I stopped in the recent past | No | Prefer not to say | Yes
q_personal_1,character,3,No | Prefer not to say | Yes
q_personal_2,character,3,No | Prefer not to say | Yes
q_life_changes,character,22,"Became pregnant | Became pregnant,Had a child | Divorce | Divorce,Moved place of residence | Divorce,Moved place of residence,Became pregnant | Divorce,Moved place of residence,Became pregnant,Had a child | Had a child | Lost a job | Lost a job ,Became pregnant | Lost a job ,Became pregnant,Had a child | Lost a job ,Divorce | Lost a job ,Divorce,Moved place of residence | Lost a job ,Divorce,Moved place of residence,Became pregnant | Lost a job ,Had a child | Lost a job ,Moved place of residence | Lost a job ,Moved place of residence,Became pregnant | Lost a job ,Moved place of residence,Became pregnant,Had a child | Lost a job ,Moved place of residence,Had a child | Moved place of residence | Moved place of residence,Became pregnant | Moved place of residence,Became pregnant,Had a child | Moved place of residence,Had a child"
q_demos_income,character,7,"$100,000 - $149,999 | $150,000 or more | $25,000 - $49,999 | $50,000 - $74,999 | $75,000 - $99,999 | Less than $25,000 | Prefer not to say"
race_raw,character,6,American Indian/Native American or Alaska Native | Asian | Black or African American | Native Hawaiian or Other Pacific Islander | Other | White or Caucasian
life_raw,character,5,Became pregnant | Divorce | Had a child | Lost a job | Moved place of residence
