variable,tipo,n_valores_unicos,valores_unicos,base
plataforma_participacion,character,2,No | Sí,survey_es
grupo_edad,character,6,18 - 24 años | 25 - 34 años | 35 - 44 años | 45 - 54 años | 55 - 64 años | 65 años o más,survey_es
origen_hispano,character,2,No | Sí,survey_es
raza_combinada,character,26,"Asiático | Asiático, Nativo de Hawái o de las islas del Pacífico | Asiático, Otro | Blanco o caucásico | Blanco o caucásico, Asiático | Blanco o caucásico, Asiático, Nativo de Hawái o de las islas del Pacífico | Blanco o caucásico, Indígena americano/nativo americano o nativo de Alaska | Blanco o caucásico, Indígena americano/nativo americano o nativo de Alaska, Asiático | Blanco o caucásico, Indígena americano/nativo americano o nativo de Alaska, Otro | Blanco o caucásico, Nativo de Hawái o de las islas del Pacífico | Blanco o caucásico, Negro o afroamericano | Blanco o caucásico, Negro o afroamericano, Asiático | Blanco o caucásico, Negro o afroamericano, Asiático, Nativo de Hawái o de las islas del Pacífico | Blanco o caucásico, Negro o afroamericano, Asiático, Otro | Blanco o caucásico, Negro o afroamericano, Indígena americano/nativo americano o nativo de Alaska | Blanco o caucásico, Negro o afroamericano, Otro | Blanco o caucásico, Otro | Indígena americano/nativo americano o nativo de Alaska | Indígena americano/nativo americano o nativo de Alaska, Asiático, Nativo de Hawái o de las islas del Pacífico, Otro | Nativo de Hawái o de las islas del Pacífico | Negro o afroamericano | Negro o afroamericano, Asiático | Negro o afroamericano, Indígena americano/nativo americano o nativo de Alaska | Negro o afroamericano, Indígena americano/nativo americano o nativo de Alaska, Asiático | Negro o afroamericano, Otro | Otro",survey_es
nivel_educativo,character,5,"High school diploma or GED | Posgrado o título profesional (maestría, MBA, doctorado, JD, MD, DDS, etc.) | Prefer not to say | Some high school or less | Título universitario (licenciatura)",survey_es
genero,character,4,Femenino | Masculino | Otro | Prefiero no decir,survey_es
orientacion_sexual,character,3,Heterosexual | LGBTQ+ | Prefiero no decir,survey_es
estado,character,52,Alabama | Alaska | Arizona | Arkansas | California | Carolina del Norte | Carolina del Sur | Colorado | Connecticut | Dakota del Norte | Dakota del Sur | Delaware | Distrito de Columbia | Florida | Georgia | Hawái | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Luisiana | Maine | Maryland | Massachusetts | Míchigan | Minnesota | Misisipi | Misuri | Montana | Nebraska | Nevada | No residía en Estados Unidos | Nueva Jersey | Nueva York | Nuevo Hampshire | Nuevo México | Ohio | Oklahoma | Oregón | Pensilvania | Rhode Island | Tennessee | Texas | Utah | Vermont | Virginia | Virginia Occidental | Washington | Wisconsin | Wyoming,survey_es
personas_comparten_cuenta,character,4,1 (solo yo) | 2 | 3 | 4+,survey_es
tamano_hogar,character,4,1 (solo yo) | 2 | 3 | 4+,survey_es
frecuencia_compra_amazon,character,3,5 - 10 veces al mes | Más de 10 veces al mes | Menos de 5 veces al mes,survey_es
consumo_cigarrillos,character,4,Dejé de consumir recientemente | No | Prefiero no decir | Sí,survey_es
consumo_marihuana,character,4,Dejé de consumir recientemente | No | Prefiero no decir | Sí,survey_es
consumo_alcohol,character,4,Dejé de consumir recientemente | No | Prefiero no decir | Sí,survey_es
diabetes_hogar,character,3,No | Prefiero no decir | Sí,survey_es
silla_ruedas_hogar,character,3,No | Prefiero no decir | Sí,survey_es
cambios_vida_combinado,character,22,"Cambió de lugar de residencia | Cambió de lugar de residencia, Quedó embarazada | Cambió de lugar de residencia, Quedó embarazada, Tuvo un hijo/a | Cambió de lugar de residencia, Tuvo un hijo/a | Divorcio | Divorcio, Cambió de lugar de residencia | Divorcio, Cambió de lugar de residencia, Quedó embarazada | Divorcio, Cambió de lugar de residencia, Quedó embarazada, Tuvo un hijo/a | Lost a job , Cambió de lugar de residencia | Lost a job , Cambió de lugar de residencia, Quedó embarazada | Lost a job , Cambió de lugar de residencia, Quedó embarazada, Tuvo un hijo/a | Lost a job , Cambió de lugar de residencia, Tuvo un hijo/a | Lost a job , Divorcio | Lost a job , Divorcio, Cambió de lugar de residencia | Lost a job , Divorcio, Cambió de lugar de residencia, Quedó embarazada | Lost a job , Quedó embarazada | Lost a job , Quedó embarazada, Tuvo un hijo/a | Lost a job , Tuvo un hijo/a | Perdió el empleo | Quedó embarazada | Quedó embarazada, Tuvo un hijo/a | Tuvo un hijo/a",survey_es
rango_ingresos,character,7,"$100,000 - $149,999 | $150,000 o más | $25,000 - $49,999 | $50,000 - $74,999 | $75,000 - $99,999 | Menos de $25,000 | Prefiero no decir",survey_es
raza,character,6,Asiático | Blanco o caucásico | Indígena americano/nativo americano o nativo de Alaska | Nativo de Hawái o de las islas del Pacífico | Negro o afroamericano | Otro,race_long_es
cambio_vida,character,5,Cambió de lugar de residencia | Divorcio | Perdió el empleo | Quedó embarazada | Tuvo un hijo/a,life_long_es
